fullName,companyName,title,summary,titleDescription,companyLocation,location
Fay Arjomandi,mimik,"Founder, CEO & Board Member","Fay Arjomandi is the Founder, CEO and Board Member of the pioneering Hybrid edgeCloud company mimik. From 2016-2018, she was the executive chairman of H2 Wellness, a software company based in Los Angeles. Between Aug 2014 to Oct 2016, she was the CEO of digital health company NantMobile and led its Augmented reality platform (iD), several digital/genomics health initiatives, and WiGig fabless semiconductor company, Tensorcom. Prior to NantMobile, Fay was the CEO of Vodafone xone which was the innovation brand for Vodafone. She oversaw partnerships with startup companies to develop, test and prepare for commercial deployment in Vodafone’s global markets. Additionally, her role included managing Vodafone Ventures, board membership of Vodafone Americas Enterprise and President & Chair position at Vodafone Americas Foundation. Prior to Vodafone, Fay was the co-founder and CEO of three technology startups that built location-based services (L3 Technology), mobile quality of service improvement platform (Mobidia), and mimik.

As a pragmatic technology innovator, Fay has authored many patents in Telecommunications, Transport Layer Protocols, Mobile traffic management, QoS, and Edge Cloud Computing. Fay has a unique talent for spotting future trends and “connecting the dots.”

In 2022 she received the Canadian Top 20 Tech Titans Award and in 2020, she was named the Edge Woman of the year by the Linux Foundation. In 2018 she was the Alumni of the Year at Concordia University in Montreal where she received her bachelor’s degree in Electrical Engineering. In 2014, she was named as one of the most influential woman business leaders in Silicon Valley by San Francisco Business Week, and in 2006, received the distinguished Business in Vancouver’s “Top 40 Under 40″ award. She is a member of the Forbes Technology Council and advises many startup companies and is a Board Advisor to American Tower the global provider of wireless communications infrastructure

Fay has advised startup companies on how to build successful businesses, as well as corporations on digital transformation and innovation with impact.  In addition to exceptional leadership and vision, Fay is a highly sought-after global speaker and industry thought leader given her specialization and years of experience in digital communications, software applications and edge cloud computing. Fay holds a Bachelor of Applied Science degree in Electrical Engineering from Concordia University. She has international experience and has lived and worked in many countries in North America, Europe, and the Middle East.","mimik is the 5th Element of AI.  Our mission is to empower businesses to operationalize agentic solutions by enabling freedom of choice, seamless adaptability, and sustainable growth. Without the right foundation, businesses risk building fragile systems—a house of cards waiting to collapse under the weight of complexity and inefficiency. mimik provides the robust, foundational platform needed to build intelligent, scalable systems that deliver real-time insights, interoperability, and new opportunities in the agentic economy. 

With offline-first capabilities and support for any combination of multi-LLM, modality, cloud, hardware, and OS, mimik enables businesses to reduce costs, unlock new revenue streams, and thrive efficiently in a distributed and continuously evolving world.

With mimik, businesses are enabled to:

- Build resilient systems, avoiding the fragility of a house of cards
- Enjoy the freedom to choose any tools, AI providers, and cloud platforms without lock-in
- Embrace adaptability and interoperability across technologies and ecosystems
- Achieve significant cost savings and enhanced energy efficiency
- Deliver real-time intelligence close to where customers interact
- Future-proof their operations to remain competitive and innovative
- Unlock new revenue streams through Knowledge-as-a-Service (KaaS)","Oakland, California, United States","Redwood City, California, United States"
JJ Richa,TCA Venture Group,Angel Investor,"Executive Bio

JJ Richa is an accomplished serial entrepreneur, executive and investor. Richa has successfully founded several companies, where he served as President and CEO, including a software company for the hospitality industry, an online ecommerce portal for high-end made-to-order gifts, and a custom software development company concentrating on the financial sector. Richa is a private equity investor, a longtime member of Tech Coast Angels where he served as its vice president and a member of its executive committee. Richa has served on numerous board of directors, started a private equity firm and served in senior executive restructuring and turnaround roles. Richa has BS and MS degrees from Cal State Long Beach.",,"Irvine, California, United States","Orange County, California, United States"
Ryan Paugh,Forbes Councils,Co-Founder,"Ryan Paugh has been at the forefront of building highly curated, technology-enabled communities for ambitious professionals. He first co-founded Brazen Careerist, a career-management site for high-achieving young professionals and ambitious college students, where he led the company’s community development efforts. Brazen Careerist was recognized as one of the top social networks for Gen Y entrepreneurs by Mashable.

Ryan then went on to co-found Young Entrepreneur Council (YEC) in 2010 with Scott Gerber, an invite-only organization for top entrepreneurs 40 and under that Entrepreneur noted “has quickly become one of the most elite organizations of its kind.” He saw YEC as a unique opportunity to apply the expertise he developed at Brazen Careerist to help fellow entrepreneurs access the resources, technology and most important, people they need to succeed. YEC’s members now generate billions of dollars in revenue and have created tens of thousands of jobs. 

Today, Ryan and his team are building on their vision of the future of professional organizations with Community.co, a company poised to launch dozens of vetted communities engineered to help ambitious professionals grow their network and expand business opportunities. It’s a mission Ryan identifies with; after graduating from Penn State University and launching his own entrepreneurial career, he knows firsthand the value of a trusted community.

Called “a cult legend in the online-community building world” by Mashable, Ryan is now focused on creating a strong membership experience and positive business outcomes for thousands of successful executives, thought leaders, business owners and entrepreneurs across the country.","Led by the team behind Young Entrepreneur Council (YEC), Forbes Councils is a collective of invitation-only communities including Forbes Technology Council, a community comprised of elite CIOs, CTOs and technology executives. ","Boston, Massachusetts, United States",Greater Milwaukee
Thomas Holt,⋂OVOLO,"Founder, CEO","🤖 Building Novolo



A Note to Novolo Employees, Stakeholders, and Partners:

It’s important to remember that we are in the early stages of exponential technological advancement. The pace will accelerate, the stakes will rise, and the landscape will become increasingly strange and controversial.

When I started building Novolo in 2021, people often asked me what AI was. That question doesn’t come up much anymore. Now, when I mention Novolo is an AI company, people usually look excited or like they want to punch me in the nose.

Many of us, myself included, have even begun receiving threats from anti-tech extremists. Expect this to grow.

The majority of these extremists have used the actions of certain governments and corporations to define the ethos of all tech companies. Many believe that, even with good intentions, individuals and organizations building technology of any kind are inevitably tied to ‘the system’ and are thus part of the problem. Obviously, I disagree with this sentiment.

I think it’s entirely possible for a business to build beneficial technology without killing whales or using ‘creative tax strategies,’ and Novolo will continue to do so. Unfortunately, the choices that other companies make will always warp the public’s perception of Novolo, no matter what we do ourselves.

Given the rampant ethics washing these days, it’s understandable when the public reacts skeptically when we and other tech companies claim to “build technology that will make the world a better place.”

Lucky for us, I believe the same technologies that will change people’s lives for the better will also change our bank accounts for the better.

We’re building technology to make the world a better place, and we’re trying to make money while we do it.

We’re not heroes, and we’re not villains.

Thomas Holt
Founder/CEO, Novolo
August 12th, 2024","Novolo.ai is a HCAI portfolio/holding company. Across our portfolio, we've invested 9 figures into building the future of human AI interaction. 🦄","Seattle, Washington, United States","Seattle, Washington, United States"
John M. Perry,Bluefin Payment Systems,Chief Executive Officer,"As the Chief Executive Officer of Bluefin Payment Systems, I lead the recognized leader in encryption and tokenization technologies for digital payments and data security. With over 10 years of experience in this role, I have developed and delivered strategic initiatives to drive profitability, market performance, quality, and service for our global network of over 300  partners operating in 60 countries.

My core competencies include sales, marketing, and business development, as well as mergers and acquisitions, in public, private equity, and venture-backed companies. I have a proven track record of creating clear vision, recruiting exceptional teams, and generating profitable new products and solutions across multiple and complex platforms and channels. My mission is to provide the best-in-class security solutions for contactless, online, and mobile payments, as well as for the protection of personal and health information. I hold an MBA from Northwestern University - Kellogg School of Management, a BS in Engineering from US Military Academy at West Point, and I am a former Captain in the US Army.","Bluefin is the recognized leader in encryption and tokenization technologies for digital payments and data security. Our security suite includes PCI-validated point-to-point encryption (P2PE) for contactless face-to-face, call center, mobile and unattended payments, and our ShieldConex® data security platform for the protection of personally Identifiable Information (PII), Personal Health Information (PHI), and payment data entered online. The company’s partner network currently includes over 300 global partners and serves 34,000 businesses operating in 55 countries.","Atlanta, Georgia, United States","Atlanta, Georgia, United States"
David Brumbaugh,Deep Sentinel,Director of Software Engineering,"David Brumbaugh is the Director of Software Engineering - Applications at Deep Sentinel, a cutting-edge AI security company.

David has been employed as a principal software engineer at Deep Sentinel.

He has been a Senior Web Architect for Metabolic Living.

David has been a Software Engineer working in Security Research and Operations at CISCO.

David has also been a Web Engineer at 10 Up, where he had the honor of working with a world class WordPress development team.  With the release of WordPress 4.5 he is proud to add ""WordPress core Contributor"" to his list of accomplishments.

David has been the chief software architect and CTO of 3B Alliance, an SaaS provider focusing on eCommerce and business to business solutions. 3B Alliance  has completed the research and development phase of of it's web services and  has begun production.

David has over 30 years of Software Engineering and IT experience. Involved in internet development since 1994, David has worked as the Director of IT and Software Engineering for an International Insurance Company and the Chief of South Eastern Operations for an International IT Consulting Firm.   

His professional writing has been published by Sitepoint, DICE, Microsoft, C/C++ User's Journal, PC Techniques and John Wiley & Sons.

He has served as an expert witness in Federal court in a software copyright infringement case.

He has worked as a consultant for Fortune 500 companies in the manufacturing and financial industries.  


David is also the Technical Director/Owner of Pazzam Studios, a new game company (see below.)

As an Artificial Intelligence and Physics Simulation Programmer - for a major game developer his credits include NFL Full Contact Football, Indy Racing, Jeff Gordon XS Racing and Centipede 3D.

Specialties: Software Design, Technical Writing, PHP, mySQL, C++, C#, Application Security, eCommerce, Facebook Application Programming, Game Development","Lead software development team to develop, document and maintain entire cutting edge ai based security applications.

Deep Sentinel is the only home security service with guards protecting your home by monitoring your cameras 24/7. Instead of you reviewing every notification like with Nest, Arlo, or Ring, professionally trained guards watch for you.","Pleasanton, California, United States","Mobile, Alabama, United States"
Nate Brogan,"TransAct Communications, LLC","CEO and Member, Board of Directors","➡️ Operator at scale ($350M+ ARR @ rule of 50)
➡️ Key deal team exec on $3B+ of successful PE M&A transactions & integrations (buy/sell side) 
➡️ Deep expertise in public sector with an emphasis in K12 / SLG and Safety / 911
➡️ PE Advisor to high stakes diligence processes, turnarounds and ongoing operations.

Hands-on C-level operator, board director and advisor (bootstrap startup to Fortune 1000 public company to PE-backed with multiple successful exits). 25 years experience creating significant shareholder value through high scale go-to-market programs, extensive M&A, full P&L ownership and fostering a culture of growth and accountability in public sector / EdTech / GovTech, public safety, SLG, telecom and related verticals in North America and globally.",,"Lynnwood, Washington, United States",San Francisco Bay Area
Lucas Wilson,Signpost,Chief Executive Officer,"🚀 Scaling Businesses | Driving Growth & Operational Excellence

I specialize in turnarounds, scaling, and operational execution—taking businesses from stalled growth to predictable, scalable success.

🔹 CEO of Signpost – Leading the transformation of a SaaS-driven, AI-powered customer communication platform for SMBs.
🔹 Growth & Turnaround Expert – Proven track record in scaling revenue, optimizing operations, and executing GTM strategy.
🔹 Advisor & Consultant – Helping CEOs, founders, and operators navigate challenges, from sales expansion to financial restructuring.

📈 What I Do Best

✔ Scaling Sales & GTM Execution – Turning stalled pipelines into high-growth revenue engines.
✔ Financial & Operational Strategy – Driving cost efficiency, capital allocation, and profitability.
✔ AI & Automation in Customer Engagement – Leveraging technology to enhance service businesses.
✔ Strategic Partnerships & M&A – Creating win-win collaborations that drive expansion.

🔎 Looking to Connect?

💡 Business Leaders & Founders – Need guidance on scaling, efficiency, or turnaround strategy? Let’s talk.
🤝 Strategic Partners – Open to collaborations, integrations, and market-expanding opportunities.
📩 Advisory & Consulting Opportunities – Available for select growth-focused engagements.

🚀 Let’s build something great. DM me or visit www.bias2action.co to connect.","As CEO of Signpost, I lead the transformation of a SaaS and AI-powered customer communication platform designed for SMB service providers. I specialize in:

🔹 Business Turnarounds & Scaling Execution – Took over a failing business and stabilized it, rebuilding GTM, operations, and financial health to drive sustainable growth.
🔹 Revenue Growth & Monetization Strategy – Revamped go-to-market execution, resulting in double-digit YoY growth in New Sales MRR through improved sales efficiency and customer acquisition.
🔹 Customer Retention & Contact Center Optimization – Overseeing U.S.-based live receptionist services, ensuring calls are answered within seconds to drive customer engagement & revenue expansion.
🔹 Strategic Partnerships & M&A – Building integrations and acquisitions with field service software & marketplaces (e.g., Angi, Thumbtack, ServiceTitan).
🔹 P&L Ownership & Financial Restructuring – Navigating capital efficiency, working capital management, and operational cost optimization to strengthen financial health.

Key Wins:

✅ Churn at historic lows (3.5%), improving long-term customer retention.
✅ Sales ramp optimization, cutting onboarding time to 2 days to script & 4 days to first usage (was 30 & 73 days in 2024).
✅ New Sales MRR growth in double digits YoY, driven by refined GTM strategy and sales execution.
✅ AI-powered messaging & automation, launching in Q2 to enhance customer self-service efficiency.

I’m always open to networking, partnerships, and leadership discussions in SaaS, AI, and SMB growth strategy.","New York, New York, United States","Austin, Texas Metropolitan Area"
"Michael Rogers - CISSP, PMP, MCTS",Maryland Board of Nursing,Director of Information Technology,"Operations-focused IT executive blending 25+ years of technical depth, business acumen, and leadership experience to improve operational excellence and resilience. Extensive experience driving transformative change, infrastructure enhancement, and technological innovation through modernization, data-driven performance enhancements, and a close alignment of technology and business outcomes.

Results-driven and experienced IT strategist and adaptive leader with proven expertise in network infrastructure, regulatory compliance, information security management, cloud migration and management, project management, agile service delivery, DevOps, and the creation and operation of high-performing teams.

Key Achievements Include: 

✅  Led the design and delivery of more than 100 impactful IT solutions across non-profit, federal, finance, and higher education sectors, leveraging business acumen and technical expertise to achieve client success

✅  Spearheaded a $5M network transformation, streamlining core applications and consolidating data centers, yielding 20% cost reduction and 99.95% uptime

✅  Directed $15M annual IT budget (OpEx & CapEx), identifying and eliminating redundancies to achieve a 20+% operational cost reduction

✅  Reduced overall infrastructure cost by 30% while increasing network performance and scalability through the implementation of a comprehensive hybrid cloud strategy

✅  Streamlined customer support with the creation of a multichannel contact center and self-service portal, reducing call volumes by 23% and improving call resolution time by 18%

✅  Optimized project delivery and implemented risk management systems, ensuring predictable timelines, smoother delivery, and increased profitability

✅  Spearheaded rapid transition to remote work during the pandemic, deploying cloud solutions to maintain business continuity and ensure employee well-being

✅  Managed a portfolio of more than 75 IT projects, optimizing infrastructure, mitigating vulnerabilities, and enabling seamless cloud transition for improved performance, ensuring alignment with strategic goals

✅  Fortified cybersecurity postures with a proactive, NIST-compliant plan encompassing incident response, vulnerability management, IAM, and DevSecOps that resulted in a reduction of vulnerability findings of more than 40%

Open to exploring new challenges in transformational and operational leadership. Contact me through this profile to connect.","Leading transformational change through technology modernization, process standardization, and best practice alignment","Baltimore, Maryland, United States","Pasadena, Maryland, United States"
Sudeep Bhatnagar,Agicent App Company,CEO,"Personal profile - 
- Cofounded Agicent back in 2010 as the CEO, our main business where we help entrepreneurs and startups in creating their digital products (majorly Apps, wearable apps, Web suits) and also extend our marketing and business services to help them build a profitable startup around the App or any other digital product.
- Work as a generalist though main focus is on Marketing, BD and consulting.
- Build, nurture, grow teams across technology, marketing, sales, project management, staff augmentation, Human resources and growth.
- Have knack of finding gaps in markets and use this gift in shaping the digital products to be better and more profitable.
- Love digital marketing, love testing and running and getting results from organic and paid marketing campaigns.
- Keep working on my own ideas (they never cease to pop up in the mind), I *refused* to give up on innovation long back. The only way forward is to change the things to better - truly believe in this.
- Nothing feels better than working with sincere, reliable and go getter people.
- A family man, and if you're my friend then feel free to break a war with anyone and you'll find me by your side.
- Proud of my actual Indian heritage, though mostly a Global Citizen, truly believe in the pursuit of happiness and all the good modern values. For me, Character >> Skills and humility is a big virtue.
- Clients and their trust are everything to me, do my best to make sure they get what we promise.
- Learning always.
- Non Professional loves - Workouts (all kinds), Cinema (Favorites - Godfarther, Pulp Fiction, Goodfellas, Sopranos, Guide (Hindi), Breaking Bad, and the Dollar Triology. 

💡*So would you like to speak further?*

About Agicent - 
🏆 awarded in 2021 as the *Top App Agency for startups* by MobileAppDaily. 🏆

✅ Created 1000 + apps, including HASfit that has millions of active users.

✅ Major clients -  TCS, Panasonic, HASfit, Wellcure, Swaralink, Kredily, NEC.

-S


#HireAppcompany #Appdevelopers #TopAppCompany","Working/ Have worked with Brands like TCS (Tata Consulting Services), Gold Gym, Fosters+Partners, HASfit, Wellcure (By Groupon Founders), Agicent is an App development company, chosen by high tech startups and established brands in last 11 years. We are app creators behind famous apps like HASfit, Wellcure, and Aiko & Egor.

We offer complete App and web development services ranging across - app design, app development, quick wireframes and App MVP, web development and we work on both fixed price or iterative/ hourly model.

Following are the major technologies and tools we use -

Native Apps - Swift and xcode, and java and studio (for android)

Crossplatform apps - flutter, react native, angular, ionic

Web apps - angular js, html, css or laravel with php

Backend - node.js, mongodb, mysql, oracle, MSsql

Front End - angularjs, bootstrap, HTML, CSS, Jquery, redux

Infra/ hosting - AWS, Firebase, Azure

Design - Photoshop, Sketch

Testing & QA - Jira, Trello, Appium, Selenium, Manual testing

We've worked across variety of domains in last 9 years, however following are some where we've worked time & again with more perfectness everytime -

Fitness & Health- Our most famous App HASfit with 1 mn users, ketoproject app, low carb menu app.

Photo Video Apps - Aiko & egor, Pregmo, Mybabybod

Elearning - TalentLMS, Questbase, quizo

Healthcare and medical - Wellcure.com, smartirx.com platform, medicalminder, healthyhost.

Ecommerce Apps - Zed axis sales, Kolaveri

Dating - lgbtqtie, deuces, hummingbird, hang

Food & delivery - Easypic, Food Truck nearby

Enterprise - pulse survey, zedaxis sales & service apps

Travel & tourism - quadlabs ticket booking, secret travel deals, hotel booking.","New York, New York, United States","New York, New York, United States"
Andrew Edgecliffe-Johnson,SEMAFOR,CEO Editor,,,"Washington, District of Columbia, United States","New York, New York, United States"
Noah Greenberg,Stacker,CEO,"CEO at Stacker, an earned syndication platform connecting media outlets and their readers with high quality, original research and insights from third-party publishers.

There's so much incredible content being produced by organizations that don't fit the mold of a ""traditional"" publisher. Whether it's companies like Lyft and Experian hiring data journalists to tell stories from their proprietary data, or non-profit newsrooms unearthing untold stories, there is one common thread as teams navigate their strategies: a need for distribution.

Stacker Connect is the only platform that organically amplifies the reach of your content by syndicating original stories and research to thousands of publishers, driving earned media at scale.

Interested in the potential of distributing your content through Stacker Newswire? learn more @ stacker.com","Stacker is an earned syndication platform connecting media outlets and their readers with high quality, original research and insights from third-party publishers. More than 3,000 newsrooms trust our technology to surface vetted, original content that enhances editorial coverage— and hundreds of brand publishers, non-profits, and modern storytellers rely on our platform to amplify their content and make it more discoverable. Stacker bridges the gaps in a fragmented media ecosystem, adapting to the evolving needs of newsrooms and content providers.

Interested in syndicating content through Stacker? check it out for yourself: studio.stacker.com/connect","New York, New York, United States","New York, New York, United States"
Eva Magdalenski,Grand Central Publishing,Author,"I am the CEO of Dj Eva Enterprises LLC, a company that provides innovative and engaging content across multiple platforms and media. I have over seven years of experience in this role, and I am also a certified DJ and a social media expert. I am passionate about using my skills and expertise to create and deliver diverse and dynamic services to my clients and audiences, such as DJing, presidential debates, and entertainment.

Before starting my own company, I worked with comedian Chelsea Handler for nine years, as the Director of Operations for her production company, Borderline Amazing Productions, and as her manager on TV's ""Chelsea Lately"" and on tour. I was responsible for overseeing and managing all aspects of social media, marketing, production, travel coordination, live events, book publishing, sponsorships, branding, publicity, corporate relationships, and partnerships. I also co-authored a book, appeared on national TV, and participated in a national TV infomercial. Working with Chelsea taught me a lot about humor, creativity, and leadership, and inspired me to pursue my own goals and vision.",,"New York, New York, United States","Englewood, Colorado, United States"
Jim Garrettson,ArchIntel,CEO,"Jim is located in the Washington DC area with overseas operations in the Philippines. Operating 3 news cycles daily, Executive Mosaic (EM Inc) is an around-the-clock news and media company. 

Jim Garrettson founded EM Inc in 2001 in an effort to build an exclusive forum and cross media platform exclusively for top-tier executives in the greater Washington DC market. His efforts produced an array of highly specialized internet-based media properties, publications and event driven executive peer groups. Sensing the continued growth of the GovCon community and consolidation of the mid tier companies, Garrettson evolved his models and efforts to strategically pursue this key market segment. Today, he has created a prestigious series of private networking communities for top executives, and serves as Publisher for the growing number of EM Inc online and media properties. 

In addition to EM Inc, Garrettson also founded the Potomac Officers Club (POC) with a mission is “To weave an executive fabric that benefits our local business community”.  That organization and the associated e-magazine he founded in 2003 (ExecutiveBiz) served a pronounced need at the time for connecting the Washington business community. Outside of Washington, Garrettson owns 2 FLorida based Five Guys Burger and Fries franchise under his FlowSmart5 LLC.

Garrettson also founded 4x24, Wash100, GovConIndex, ExecutiveGov, ArchIntel & FlowSmart5. 

A serial entrepreneur and veteran of the fast-growth technology and telecom industries, Garrettson is also Founder & President of TownHall Teleconferencing, and earlier served as EVP of Sales & Marketing at Net2000 Communications, SVP for Satellite based streaming media provider Cidera, President of Teleglobe Business Solutions, SVP of Sales at Qwest and various positions with MCI Telecommunications. Garrettson is a graduate of the University of Hartford’s Barney School of Business and  past advisory board member of the George Mason University’s College of Science.

Specialties: Executive branding, Consociation of executives, Vertical peer groups, Entrepreneur, toplinked.com","The ArchIntel solution is a completely customized, human-intelligence powered daily briefing service. ArchIntel delivers unmatched strategic awareness to your organization by uncovering the critical signals and actionable intelligence in the pervasive noise of media-sourced information.  We leverage a sophisticated, proven information gathering platform to source only the most relevant and actionable intelligence to your team every morning.

www.archintel.com","Vienna, Virginia, United States",Washington DC-Baltimore Area
Russell Kamp,West Bergen Mental Healthcare,Board Trustee and Past President,"Mr. Kamp’s entire 43+ year career has been spent in the investment management and retirement industries.  Kamp is currently a Managing Director at Ryan ALM, a leading ALM firm in the fight to protect and preserve DB pension systems. Ryan ALM is a specialist fixed-income shop focusing primarily in cash flow-driven investing (CDI). 

Kamp, launched and managed Kamp Consulting Solutions, LLC in August 2011. With the launch of KCS, LLC, Russ returned to his consulting roots after 19 years in asset management roles.  KCS was a full-retainer asset consulting firm working with DB plans in the Taft-Hartley, private, and public funds arenas.  In addition, KCS aimed to support E&F sponsors and HNW individuals.  

Russ began with Invesco in 1993, eventually achieving the CEO role for Invesco's Quantitative Strategies Group.  Russ also served in both sales (1993-June 1997) and Product Management positions (July 1997 – June 2004) while at Invesco and Chancellor Capital Management, which was acquired by Invesco in May 1998.

IQS was a quantitatively-oriented equity and global macro group with roughly $20 billion in AUM.  Prior to the market’s peak in October 2007, IQS managed nearly $38 billion in client AUM.  IQS developed a scalable investing platform that enabled the 59 team members to implement more than 50 different optimizations.  IQS is a solutions-oriented group that has the ability to manage long-only, market-neutral, 130/30, and TAA-related strategies. 

Before joining Invesco, Russ was a Partner, Senior Vice President, and Consultant with Evaluation Associates, Inc. in Norwalk, CT, where he had roughly 14 client assignments.    He began his career as an analyst for Janney, Montgomery Scott’s Investment Management Control Systems.

Mr. Kamp earned a BS in Business from Fordham University’s College of Business Administration (now known as the Gabelli School of Business).  He served as President of the Board for West Bergen Mental Healthcare, the chairman of their foundation board, was formerly president of the Wyckoff/Midland Park Rotary Club, Trustee for the Church of the Nativity, and is a former trustee for both the Midland Park and Palisades Park Boards of Education.  He's a former elected Councilman to the Midland Park Borough Council. He resides in Midland Park, NJ, with his wife Laurie. Together they have five children, 2 daughters-in-law, 2 sons-in-law, and 11 grandchildren.","I have served as a Board Trustee for the past 9 years, and for four of those years I was the President of the Board.  This is a wonderful non-profit organization specializing in crib to grave services for clients needing mental healthcare.",,"Midland Park, New Jersey, United States"
Alfred Ramirez,Leverage Information Systems,IP Surveillance Engineer,"Welcome to Impulse Capital Partners! We are a leading hard money lending firm based in San Bernardino, CA, dedicated to supporting real estate investors in achieving their financial goals. As a trusted source of funding, we specialize in providing tailored financing solutions for fix and flip projects, rental investments, and ground-up construction.

At Impulse Capital Partners, we believe in the power of collaboration and long-term relationships. We strive to be more than just a lender; we aim to be your strategic partner in success. Our team of experienced professionals is committed to understanding your unique needs and helping you navigate the complex world of real estate investing.

With our deep knowledge of the local market, we offer quick and efficient loan approvals, allowing you to seize time-sensitive opportunities. We value transparency, integrity, and exceptional customer service, and these principles guide everything we do.

What sets us apart is our genuine passion for building lasting partnerships with our clients. We are dedicated to providing personalized guidance, reliable funding, and ongoing support throughout your investment journey. Your success is our priority, and we are here to help you achieve it.

Whether you're a seasoned investor or just starting out, Impulse Capital Partners is here to provide the financial resources and expertise you need to thrive. Partner with us and experience the difference of a trusted financial partner who shares your vision and works tirelessly to help you reach your real estate investment goals.

We invite you to explore our services, connect with our team, and take the next step towards a successful and profitable real estate investment journey. Let's make your investment dreams a reality with Impulse Capital Partners.",,,"Riverside, California, United States"
"Michele Colucci, Esq.",DigitalDx Ventures,"Managing Partner, CEO",,DigitalDx Ventures helps doctors make better decisions by investing in companies operating at the cutting edge in the application of artificial intelligence and big data to diagnostics and digital therapeutics.,"Menlo Park, California, United States","Menlo Park, California, United States"
Peter Caputa,Databox,CEO,"I help the leaders of professional services firms leverage data to get the respect, power and money they deserve -- in that order. (Sorry Lil' Kim, you had it backwards.) 

I have been building systems that help professional services firms get to the next level for nearly 20 years now. As the founder and 9-year leader of the HubSpot Solutions partner program, I helped thousands of marketing agencies increase recurring revenue and margins by teaching them how to sell and deliver a measurable and compounding ROI -- helping many go from their dining room table to multi-million dollar exits. 

As CEO of Databox, my team & I have established a system (software, training, support) that actively helps 1200+ professional services firms use data to acquire, retain and expand their client engagements.

I believe in giving value first. 

So, if you're a leader at a professional services firm, you can start by 

1️⃣ Leveraging us to get the RESPECT you deserve by taking 5 minutes to contribute a quote for some of our upcoming research articles (https://databox.com/become-a-contributor) or inquire with my team about our other free co-marketing programs, 
2️⃣ Leveraging us to get the POWER you deserve by taking our free course on how to leverage benchmark data in your marketing, sales and client services processes, or
3️⃣ Leveraging us to get the MONEY you deserve by taking our free course on how to leverage data to predictably improve your (and your clients') performance. 

Both free courses are here --> https://academy.databox.com/

Of course, if you're ready to explore how we can help you the most, start a trial of our analytics software. More than 1200 professional services firms use us to efficiently monitor, manage, report, benchmark and forecast performance for their clients -->  https://databox.com/analytics-software/agencies

I also write and network a lot on Linkedin. While my inbox is usually overflowing, don't be afraid to ask me for help.","Building a platform and business that makes it easy for every.single.person at a company to leverage data to make more informed decisions and maximize company performance.

Try us out free at www.databox.com/signup

Become a partner if you want the respect, power and money you deserve.","Boston, Massachusetts, United States","Wayland, Massachusetts, United States"
Don Hammond,Tech Consulting,Chief Executive Officer,"Inspired executive with a proven track record developed around integrity, hard work, acumen and common sense. Executive tenure scaling companies, driving profitability, and preparing organizations for successful turnarounds and exits. I specialize in transforming companies at critical inflection points, building high-performance cultures, embedding operational discipline, and delivering exceptional growth. Expertise spans multiple and diverse industries, with a focus on strategic GTM planning, operational efficiency, and team empowerment to achieve scalable and sustainable success.

•  $1B+ Revenue Creation: Led strategies, teams and execution to over $1B in total career revenues
•  Exit-Driven Success: Achieved multiple exits at the C-level in diverse industries
•  Rapid Turnarounds: Championed 2 turnarounds – most recently returned a comp to black in 3 mos
•  Operational Transformation. As much as 70% increase via improved process, training and tech stack
•  Cultural Leadership: Track record of creating double-digit employee and management retention improvement with dramatically improved productivity and efficiency.","IT Training and Placement Firm

We specialize in delivering cutting-edge technology consulting services tailored to meet the unique needs of world renowned businesses, and connect expert consultants with the talent acquisition professionals looking for them. With a deep understanding of the challenges faced by recruitment teams, we offer strategic solutions to enhance your project staffing efforts, optimize workflows, and drive success.","Atlanta, Georgia, United States","Atlanta, Georgia, United States"
Honor Gunday,"Paymentwall, Inc.",CEO & Founder,"<<<<<<<<<I reached 30.000 contacts and am not able to add anyone anymore:( so I suggest emailing honor@paymentwall.com for paymentwall and honor@fasterpay.com for Fasterpay, and honor@terminal3.com for Terminal3.com. >>>>>>>

We are expanding globally and hiring, and looking for partners everywhere. Our goal is to cover the world with a deep payments network. So we need everyone to work with us :) 



Global Payments, Credit Card processing,  Alternative Payments, Prepaid and Cash methods in any country in the world; Technology, Gaming, Gambling, Startups, Incubation, Angel Investing, Venture Capital, Blockchain, Travel Industry, Cruises, Social Networking, Advertising, CPA, Offers, Offerwall, Mobile Transaction Billing, Doing business in China, Vietnam, Philippines, Singapore, Hong Kong, South East Asia, Korea, Russia, Ukraine, Turkey, Middle East, Eastern Europe, Europe, Portugal, Poland, United Kingdom, Brazil, Latin America, San Francisco Bay Area, Phoenix, Seattle, Berlin Startups, Distributed Teams,, Outsourcing, Banking, Compliance, KYC, Regulation, Usability, Product Development, Project Management, Marketing, Brand Management, Global Expansion.","Paymentwall is a Global Payments Platform. 
We are a technology company, with a unique culture. We have built a platform that allows 5 billion users make payments using not only credit cards but also local payment options all over the world. We solve payment problems of large scale companies with technology and we enable payments for end-users all over the world. 
Brick(Credit Card Processing), PayAlto(Alternative Payments),  SpiderPipe (our Payment Orchestration Solution that unifies all payments yours and ours in 1) and Medusa Risk (our Risk & Fraud Prevention solution)","San Francisco, California, United States",San Francisco Bay Area
